output_tag,mode,checkpoint,prompt_template,bidirectional,threshold,lr,batch_size,grad_accum_steps,epochs,max_train_examples,max_dev_examples,max_length,dev_acc,dev_f1,selected_threshold,para_dev_out,para_test_out
gpu-smoke-baseline,train_dev,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
screen-baseline,train_dev,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-direct,train_dev,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-meaning,train_dev,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
gpu-smoke-baseline,train_dev,checkpoints/gpu-smoke-baseline-paraphrase.pt,baseline,False,0.5,1e-05,1,1,1,16,16,128,0.75,,,predictions/para-dev-gpu-smoke-baseline.csv,predictions/para-test-output.csv
screen-baseline,train_dev,checkpoints/screen-baseline-paraphrase.pt,baseline,False,0.5,1e-05,4,2,1,5000,1000,128,0.708,,,predictions/para-dev-screen-baseline.csv,predictions/para-test-output.csv
screen-direct,train_dev,checkpoints/screen-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,1,5000,1000,128,0.747,,,predictions/para-dev-screen-direct.csv,predictions/para-test-output.csv
screen-meaning,train_dev,checkpoints/screen-meaning-paraphrase.pt,meaning,False,0.5,1e-05,4,2,1,5000,1000,128,0.676,,,predictions/para-dev-screen-meaning.csv,predictions/para-test-output.csv
full-direct,train_dev,checkpoints/full-direct-paraphrase.pt,direct,False,0.5,1e-05,4,2,3,,,128,0.8867397165401073,,,predictions/para-dev-full-direct.csv,predictions/para-test-output.csv
